dt,l1,geo,clm
2020/1/1 6:00,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101060000_20200101061459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101060000_20200101061459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101060000_20200101061459_4000M_V0001.NC
2020/1/1 6:15,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101061500_20200101062959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101061500_20200101062959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101061500_20200101062959_4000M_V0001.NC
2020/1/1 7:00,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101070000_20200101071459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101070000_20200101071459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101070000_20200101071459_4000M_V0001.NC
2020/1/1 8:00,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101080000_20200101081459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101080000_20200101081459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101080000_20200101081459_4000M_V0001.NC
2020/1/1 8:45,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101084500_20200101085959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101084500_20200101085959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101084500_20200101085959_4000M_V0001.NC
2020/1/1 9:00,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101090000_20200101091459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101090000_20200101091459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101090000_20200101091459_4000M_V0001.NC
2020/1/1 9:15,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101091500_20200101092959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101091500_20200101092959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101091500_20200101092959_4000M_V0001.NC
2020/1/1 10:00,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101100000_20200101101459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101100000_20200101101459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101100000_20200101101459_4000M_V0001.NC
2020/1/1 11:00,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101110000_20200101111459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101110000_20200101111459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101110000_20200101111459_4000M_V0001.NC
2020/1/1 11:45,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101114500_20200101115959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101114500_20200101115959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101114500_20200101115959_4000M_V0001.NC
2020/1/1 12:00,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101120000_20200101121459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101120000_20200101121459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101120000_20200101121459_4000M_V0001.NC
2020/1/1 12:15,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101121500_20200101122959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101121500_20200101122959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101121500_20200101122959_4000M_V0001.NC
2020/1/1 13:00,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101130000_20200101131459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101130000_20200101131459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101130000_20200101131459_4000M_V0001.NC
2020/1/1 14:00,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101140000_20200101141459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101140000_20200101141459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101140000_20200101141459_4000M_V0001.NC
2020/1/1 14:45,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101144500_20200101145959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101144500_20200101145959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101144500_20200101145959_4000M_V0001.NC
2020/1/1 15:00,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101150000_20200101151459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101150000_20200101151459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101150000_20200101151459_4000M_V0001.NC
2020/1/1 15:15,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101151500_20200101152959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101151500_20200101152959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101151500_20200101152959_4000M_V0001.NC
2020/1/1 16:00,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101160000_20200101161459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101160000_20200101161459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101160000_20200101161459_4000M_V0001.NC
2020/1/1 17:00,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101170000_20200101171459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101170000_20200101171459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101170000_20200101171459_4000M_V0001.NC
2020/1/1 17:45,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101174500_20200101175959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101174500_20200101175959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101174500_20200101175959_4000M_V0001.NC
2020/1/1 18:00,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101180000_20200101181459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101180000_20200101181459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101180000_20200101181459_4000M_V0001.NC
2020/1/1 18:15,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101181500_20200101182959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101181500_20200101182959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101181500_20200101182959_4000M_V0001.NC
2020/1/1 19:00,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101190000_20200101191459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101190000_20200101191459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101190000_20200101191459_4000M_V0001.NC
2020/1/1 20:00,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101200000_20200101201459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101200000_20200101201459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101200000_20200101201459_4000M_V0001.NC
2020/1/1 20:45,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101204500_20200101205959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101204500_20200101205959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101204500_20200101205959_4000M_V0001.NC
2020/1/1 21:00,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101210000_20200101211459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101210000_20200101211459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101210000_20200101211459_4000M_V0001.NC
2020/1/1 21:15,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101211500_20200101212959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101211500_20200101212959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101211500_20200101212959_4000M_V0001.NC
2020/1/1 22:00,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101220000_20200101221459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101220000_20200101221459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101220000_20200101221459_4000M_V0001.NC
2020/1/1 23:00,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101230000_20200101231459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101230000_20200101231459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101230000_20200101231459_4000M_V0001.NC
2020/1/1 23:45,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200101234500_20200101235959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200101234500_20200101235959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200101\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200101234500_20200101235959_4000M_V0001.NC
2020/1/2 0:00,D:\WorkSpace\20200429\project\data\20200102\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200102000000_20200102001459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200102\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200102000000_20200102001459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200102\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200102000000_20200102001459_4000M_V0001.NC
2020/1/2 0:15,D:\WorkSpace\20200429\project\data\20200102\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200102001500_20200102002959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200102\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200102001500_20200102002959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200102\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200102001500_20200102002959_4000M_V0001.NC
2020/1/2 1:00,D:\WorkSpace\20200429\project\data\20200102\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200102010000_20200102011459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200102\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200102010000_20200102011459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200102\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200102010000_20200102011459_4000M_V0001.NC
2020/1/2 2:00,D:\WorkSpace\20200429\project\data\20200102\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200102020000_20200102021459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200102\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200102020000_20200102021459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200102\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200102020000_20200102021459_4000M_V0001.NC
2020/1/2 2:45,D:\WorkSpace\20200429\project\data\20200102\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200102024500_20200102025959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200102\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200102024500_20200102025959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200102\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200102024500_20200102025959_4000M_V0001.NC
2020/1/2 3:00,D:\WorkSpace\20200429\project\data\20200102\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200102030000_20200102031459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200102\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200102030000_20200102031459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200102\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200102030000_20200102031459_4000M_V0001.NC
2020/1/2 3:15,D:\WorkSpace\20200429\project\data\20200102\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200102031500_20200102032959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200102\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200102031500_20200102032959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200102\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200102031500_20200102032959_4000M_V0001.NC
2020/1/2 4:00,D:\WorkSpace\20200429\project\data\20200102\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200102040000_20200102041459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200102\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200102040000_20200102041459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200102\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200102040000_20200102041459_4000M_V0001.NC
2020/1/2 5:00,D:\WorkSpace\20200429\project\data\20200102\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200102050000_20200102051459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200102\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200102050000_20200102051459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200102\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200102050000_20200102051459_4000M_V0001.NC
2020/1/2 5:45,D:\WorkSpace\20200429\project\data\20200102\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200102054500_20200102055959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200102\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200102054500_20200102055959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200102\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200102054500_20200102055959_4000M_V0001.NC
2020/1/2 6:00,D:\WorkSpace\20200429\project\data\20200102\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200102060000_20200102061459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200102\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200102060000_20200102061459_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200102\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200102060000_20200102061459_4000M_V0001.NC
2020/1/2 6:15,D:\WorkSpace\20200429\project\data\20200102\FY4A-_AGRI--_N_DISK_1047E_L1-_FDI-_MULT_NOM_20200102061500_20200102062959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200102\FY4A-_AGRI--_N_DISK_1047E_L1-_GEO-_MULT_NOM_20200102061500_20200102062959_4000M_V0001.HDF,D:\WorkSpace\20200429\project\data\20200102\FY4A-_AGRI--_N_DISK_1047E_L2-_CLM-_MULT_NOM_20200102061500_20200102062959_4000M_V0001.NC
